Name, Address, Zipcode, Distance_from_94501, lat, lng 
Tia Margarita Mexican Restaurant,  300 19th Ave San Francisco, 94121, 18.503, 37.78210, -122.478446
Tropisueño,  75 Yerba Buena Ln San Francisco, 94103, 13.492, 37.78533, -122.403770
Papito,  317 Connecticut St San Francisco, 94107, 14.259, 37.76232, -122.397483
Nopalito,  306 Broderick St San Francisco, 94117, 15.527, 37.77299, -122.439109
El Toreador,  50 W Portal Ave San Francisco, 94127, 20.148, 37.74031, -122.466438
Don Pisto,  510 Union St San Francisco, 94133, 14.631, 37.80060, -122.407936
Mamacita,  2317 Chestnut St San Francisco, 94123, 16.027, 37.80015, -122.441459
Tommy's Restaurant,  5929 Geary Blvd San Francisco, 94121, 18.629, 37.78010, -122.482917
La Corneta Taqueria,  2834 Diamond St San Francisco, 94131, 18.152, 37.73401, -122.434020
Farallon,  450 Post St. San Francisco, 94102, 13.199, 37.78818, -122.409301
Local's Corner,  2500 Bryant St. San Francisco, 94110, 14.570, 37.75427, -122.409240
Nettie's Crab Shack,  2032 Union St. San Francisco, 94123, 15.348, 37.79743, -122.432746
Waterbar,  399 The Embarcadero San Francisco, 94111, 13.154, 37.79802, -122.396736
Anchor & Hope,  83 Minna St. San Francisco, 94105, 12.666, 37.78783, -122.398956
Anchor Oyster Bar,  579 Castro St. San Francisco, 94114, 15.621, 37.75962, -122.434875
Brindisi Cucina di Mare,  88 Belden Place San Francisco, 94104, 12.952, 37.79163, -122.403846
Plouf,  40 Belden Place San Francisco, 94104, 13.063, 37.79128, -122.403778
Skool,  1725 Alameda St. San Francisco, 94103, 13.593, 37.76871, -122.402229
Sutro's at the Cliff House,  1090 Point Lobos San Francisco, , 14.230, 37.78008, -122.420166
Waterfront Restaurant and Cafe,  Pier 7 on the Embarcadero San Francisco, , 14.230, 37.78008, -122.420166
Woodhouse Fish Co.,  1914 Fillmore St. San Francisco, 94115, 16.001, 37.78743, -122.433547
Alamo Square Seafood Grill,  803 Fillmore St. San Francisco, 94117, 15.262, 37.77678, -122.431404
Bar Crudo,  655 Divisadero St. San Francisco, 94117, 15.599, 37.77552, -122.437950
Franciscan Crab Restaurant,  Pier 43 1/2 San Francisco, 94133, 14.727, 37.80963, -122.417060
Hayes Street Grill,  320 Hayes St. San Francisco, 94102, 15.107, 37.77703, -122.421737
Lot 7,  974 Valencia St. San Francisco, 94110, 15.418, 37.75730, -122.421165
Pacific Catch,  1200 Ninth Avenue San Francisco, 94122, 17.262, 37.76587, -122.466430
Scoma's,  1 Al Scoma Way San Francisco, 94133, 14.890, 37.80847, -122.417831
Sotto Mare,  552 Green St. San Francisco, 94133, 13.516, 37.79961, -122.408226
Swan Oyster Depot,  1517 Polk St. San Francisco, 94109, 13.869, 37.79073, -122.420722
The Old Clam House,  299 Bayshore Blvd. San Francisco, 94124, 15.339, 37.74315, -122.405082
Woodhouse Fish Company,  2073 Market St. San Francisco, 94114, 14.910, 37.76776, -122.428489
Yabbies Coastal Kitchen,  2237 Polk St. San Francisco, 94109, 14.687, 37.79747, -122.422096
Beach Chalet,  1000 Great Hwy. San Francisco, 94121, 19.843, 37.76888, -122.510643
Blue Mermaid Chowder House and Bar,  471 Jefferson St. San Francisco, 94109, 14.861, 37.80765, -122.420288
Crab House at Pier 39,  Pier 39 San Francisco, 94133, 14.727, 37.80963, -122.417060
Anchor Oyster Bar,  579 Castro St San Francisco, 94114, 15.621, 37.75962, -122.434875
Swan Oyster Depot,  1517 Polk St San Francisco, 94109, 13.869, 37.79073, -122.420722
Hog Island Oyster Co,  1 Ferry Bldg San Francisco, 94105, 12.387, 37.78931, -122.396957
Woodhouse Fish Company,  2073 Market St San Francisco, 94114, 14.910, 37.76776, -122.428489
Woodhouse Fish Co.,  1914 Fillmore St San Francisco, 94115, 16.001, 37.78743, -122.433547
Mission Street Oyster Bar,  2282 Mission St San Francisco, 94110, 15.081, 37.76049, -122.419227
Farallon,  450 Post St San Francisco, 94102, 13.199, 37.78818, -122.409301
Tadich Grill,  240 California St San Francisco, 94111, 12.745, 37.79328, -122.399497
Pacific Cafe,  7000 Geary Blvd San Francisco, 94121, 19.488, 37.77969, -122.494522
Swamp,  5423 Geary Blvd San Francisco, 94121, 18.213, 37.78035, -122.477485
Pacific Catch,  2027 Chestnut St San Francisco, 94123, 15.764, 37.80076, -122.436691
1601 Bar & Kitchen,  1601 Howard St. San Francisco, 94103, 14.548, 37.77148, -122.417091
Absinthe,  398 Hayes St. San Francisco, 94102, 15.039, 37.77686, -122.422988
Aquitaine,  175 Sutter St. San Francisco, 94104, 12.913, 37.78986, -122.403549
Atelier Crenn,  3127 Fillmore St. San Francisco, 94123, 15.919, 37.79837, -122.435760
Baker Street Bistro,  2953 Baker St. San Francisco, 94123, 16.402, 37.79818, -122.445892
Bistro Central Parc,  560 Central Ave. San Francisco, 94117, 16.170, 37.77497, -122.444572
Cafe Bastille,  22 Belden Place San Francisco, 94104, 13.074, 37.79112, -122.403747
Cafe Jacqueline,  1454 Grant Ave. San Francisco, 94133, 14.679, 37.80023, -122.407508
